,Unemployment Insurance: Jobless Claims: Initial
Region,United States
Frequency,Weekly beginning at Saturday
Unit,Person th
Source,US Department of Labor
Status,Active
Series ID,298084001 (UGFEAA)
SR Code,SR4526209
Function Information,
First Obs. Date,7/1/1967
Last Obs. Date,29/09/2018
Last Update Time,4/10/2018
Remarks,
Suggestions,
Mean,353.309037
Variance,13516.98812
Standard Deviation,116.2625826
Skewness,1.235564255
Kurtosis,2.624930684
Coefficient Variation,0.329067673
Min,133
Max,1073.5
Median,332.2305
No. of Obs,2700
31/03/1973,193
7/4/1973,244
14/04/1973,212
21/04/1973,211
28/04/1973,194
5/5/1973,214
12/5/1973,198
19/05/1973,189
26/05/1973,190
2/6/1973,173
9/6/1973,210
16/06/1973,198
23/06/1973,206
30/06/1973,215
7/7/1973,309
14/07/1973,270
21/07/1973,259
28/07/1973,265
4/8/1973,262
11/8/1973,238
18/08/1973,207
25/08/1973,190
1/9/1973,180
8/9/1973,177
15/09/1973,186
22/09/1973,187
29/09/1973,191
6/10/1973,210
13/10/1973,207
20/10/1973,208
27/10/1973,200
3/11/1973,230
10/11/1973,277
17/11/1973,261
24/11/1973,237
1/12/1973,299
8/12/1973,345
15/12/1973,340
22/12/1973,429
29/12/1973,461
5/1/1974,405
12/1/1974,584
19/01/1974,465
26/01/1974,373
2/2/1974,381
9/2/1974,459
16/02/1974,352
23/02/1974,296
2/3/1974,313
9/3/1974,310
16/03/1974,293
23/03/1974,285
30/03/1974,279
6/4/1974,288
13/04/1974,278
20/04/1974,256
27/04/1974,235
4/5/1974,243
11/5/1974,249
18/05/1974,238
25/05/1974,246
1/6/1974,209
8/6/1974,267
15/06/1974,255
22/06/1974,266
29/06/1974,285
6/7/1974,350
13/07/1974,351
20/07/1974,325
27/07/1974,333
3/8/1974,340
10/8/1974,318
17/08/1974,269
24/08/1974,260
31/08/1974,259
7/9/1974,253
14/09/1974,271
21/09/1974,283
28/09/1974,279
5/10/1974,325
12/10/1974,358
19/10/1974,324
26/10/1974,357
2/11/1974,375
9/11/1974,435
16/11/1974,450
23/11/1974,532
30/11/1974,524
7/12/1974,693
14/12/1974,637
21/12/1974,677
28/12/1974,813
4/1/1975,681
11/1/1975,969
18/01/1975,850
25/01/1975,729
1/2/1975,699
8/2/1975,691
15/02/1975,608
22/02/1975,567
1/3/1975,568
8/3/1975,569
15/03/1975,494
22/03/1975,499
29/03/1975,477
5/4/1975,505
12/4/1975,496
19/04/1975,456
26/04/1975,429
3/5/1975,420
10/5/1975,432
17/05/1975,410
24/05/1975,391
31/05/1975,360
7/6/1975,443
14/06/1975,422
21/06/1975,428
28/06/1975,407
5/7/1975,460
12/7/1975,517
19/07/1975,481
26/07/1975,471
2/8/1975,462
9/8/1975,429
16/08/1975,367
23/08/1975,353
30/08/1975,332
6/9/1975,331
13/09/1975,341
20/09/1975,336
27/09/1975,342
4/10/1975,365
11/10/1975,385
18/10/1975,332
25/10/1975,372
1/11/1975,378
8/11/1975,414
15/11/1975,371
22/11/1975,419
29/11/1975,403
6/12/1975,487
13/12/1975,456
20/12/1975,463
27/12/1975,573
3/1/1976,540
10/1/1976,708
17/01/1976,563
24/01/1976,486
31/01/1976,450
7/2/1976,452
14/02/1976,391
21/02/1976,367
28/02/1976,353
6/3/1976,366
13/03/1976,343
20/03/1976,330
27/03/1976,314
3/4/1976,334
10/4/1976,366
17/04/1976,316
24/04/1976,311
1/5/1976,313
8/5/1976,345
15/05/1976,308
22/05/1976,311
29/05/1976,310
5/6/1976,307
12/6/1976,351
19/06/1976,342
26/06/1976,339
3/7/1976,401
10/7/1976,445
17/07/1976,455
24/07/1976,418
31/07/1976,401
7/8/1976,373
14/08/1976,329
21/08/1976,320
28/08/1976,301
4/9/1976,321
11/9/1976,280
18/09/1976,320
25/09/1976,327
2/10/1976,332
9/10/1976,388
16/10/1976,325
23/10/1976,361
30/10/1976,370
6/11/1976,387
13/11/1976,363
20/11/1976,430
27/11/1976,369
4/12/1976,500
11/12/1976,494
18/12/1976,434
25/12/1976,466
1/1/1977,558
8/1/1977,685
15/01/1977,597
22/01/1977,589
29/01/1977,518
5/2/1977,704
12/2/1977,552
19/02/1977,422
26/02/1977,360
5/3/1977,367
12/3/1977,335
19/03/1977,321
26/03/1977,298
2/4/1977,296
9/4/1977,367
16/04/1977,316
23/04/1977,314
30/04/1977,305
7/5/1977,333
14/05/1977,309
21/05/1977,293
28/05/1977,298
4/6/1977,283
11/6/1977,308
18/06/1977,310
25/06/1977,321
2/7/1977,348
9/7/1977,431
16/07/1977,424
23/07/1977,391
30/07/1977,380
6/8/1977,379
13/08/1977,319
20/08/1977,298
27/08/1977,282
3/9/1977,289
10/9/1977,260
17/09/1977,289
24/09/1977,293
1/10/1977,275
8/10/1977,345
15/10/1977,287
22/10/1977,322
29/10/1977,309
5/11/1977,352
12/11/1977,310
19/11/1977,367
26/11/1977,342
3/12/1977,430
10/12/1977,448
17/12/1977,412
24/12/1977,450
31/12/1977,535
7/1/1978,559
14/01/1978,579
21/01/1978,500
28/01/1978,445
4/2/1978,447
11/2/1978,438
18/02/1978,455
25/02/1978,372
4/3/1978,360
11/3/1978,342
18/03/1978,302
25/03/1978,280
1/4/1978,278
8/4/1978,338
15/04/1978,279
22/04/1978,277
29/04/1978,269
6/5/1978,291
13/05/1978,268
20/05/1978,266
27/05/1978,256
3/6/1978,242
10/6/1978,292
17/06/1978,287
24/06/1978,297
1/7/1978,347
8/7/1978,428
15/07/1978,421
22/07/1978,387
29/07/1978,371
5/8/1978,376
12/8/1978,326
19/08/1978,287
26/08/1978,264
2/9/1978,249
9/9/1978,246
16/09/1978,262
23/09/1978,254
30/09/1978,249
7/10/1978,323
14/10/1978,262
21/10/1978,287
28/10/1978,280
4/11/1978,302
11/11/1978,286
18/11/1978,345
25/11/1978,350
2/12/1978,427
9/12/1978,427
16/12/1978,390
23/12/1978,447
30/12/1978,515
6/1/1979,559
13/01/1979,680
20/01/1979,488
27/01/1979,423
3/2/1979,424
10/2/1979,418
17/02/1979,384
24/02/1979,364
3/3/1979,358
10/3/1979,346
17/03/1979,315
24/03/1979,296
31/03/1979,300
7/4/1979,449
14/04/1979,424
21/04/1979,340
28/04/1979,303
5/5/1979,307
12/5/1979,290
19/05/1979,280
26/05/1979,287
2/6/1979,262
9/6/1979,322
16/06/1979,312
23/06/1979,343
30/06/1979,366
7/7/1979,458
14/07/1979,446
21/07/1979,445
28/07/1979,417
4/8/1979,428
11/8/1979,360
18/08/1979,329
25/08/1979,313
1/9/1979,312
8/9/1979,285
15/09/1979,311
22/09/1979,309
29/09/1979,303
6/10/1979,379
13/10/1979,335
20/10/1979,342
27/10/1979,353
3/11/1979,372
10/11/1979,392
17/11/1979,401
24/11/1979,379
1/12/1979,513
8/12/1979,521
15/12/1979,455
22/12/1979,580
29/12/1979,596
5/1/1980,574
12/1/1980,804
19/01/1980,648
26/01/1980,515
2/2/1980,471
9/2/1980,493
16/02/1980,418
23/02/1980,415
1/3/1980,407
8/3/1980,413
15/03/1980,398
22/03/1980,392
29/03/1980,399
5/4/1980,451
12/4/1980,535
19/04/1980,495
26/04/1980,482
3/5/1980,491
10/5/1980,526
17/05/1980,539
24/05/1980,525
31/05/1980,477
7/6/1980,562
14/06/1980,511
21/06/1980,529
28/06/1980,563
5/7/1980,584
12/7/1980,643
19/07/1980,628
26/07/1980,569
2/8/1980,536
9/8/1980,494
16/08/1980,435
23/08/1980,410
30/08/1980,397
6/9/1980,374
13/09/1980,414
20/09/1980,381
27/09/1980,363
4/10/1980,410
11/10/1980,417
18/10/1980,355
25/10/1980,384
1/11/1980,395
8/11/1980,416
15/11/1980,403
22/11/1980,440
29/11/1980,407
6/12/1980,534
13/12/1980,481
20/12/1980,499
27/12/1980,546
3/1/1981,580
10/1/1981,839
17/01/1981,638
24/01/1981,521
31/01/1981,490
7/2/1981,500
14/02/1981,439
21/02/1981,430
28/02/1981,432
7/3/1981,414
14/03/1981,385
21/03/1981,365
28/03/1981,356
4/4/1981,383
11/4/1981,401
18/04/1981,350
25/04/1981,379
2/5/1981,342
9/5/1981,369
16/05/1981,340
23/05/1981,342
30/05/1981,301
6/6/1981,384
13/06/1981,367
20/06/1981,376
27/06/1981,387
4/7/1981,430
11/7/1981,516
18/07/1981,481
25/07/1981,429
1/8/1981,444
8/8/1981,419
15/08/1981,369
22/08/1981,351
29/08/1981,352
5/9/1981,396
12/9/1981,331
19/09/1981,392
26/09/1981,392
3/10/1981,416
10/10/1981,476
17/10/1981,408
24/10/1981,450
31/10/1981,479
